title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 53.8 м² · 7/9 этаж,39 900 000〒,"Ауэзовский р-н, мкр Жетысу-3 1 — Абая Момышулы",2-комнатная квартира,53.8 м²,7,9,Нет,Нет
3-комнатная квартира · 74 м² · 1/9 этаж,50 000 000〒,"Ауэзовский р-н, мкр Аксай-4",3-комнатная квартира,74 м²,1,9,Нет,Нет
2-комнатная квартира · 46 м² · 2/2 этаж,26 000 000〒,"Ауэзовский р-н, Пятницкого",2-комнатная квартира,46 м²,2,2,Нет,Нет
3-комнатная квартира · 62 м² · 12/12 этаж,57 000 000〒,"Ауэзовский р-н, Сулейменова 18",3-комнатная квартира,62 м²,12,12,Нет,Да
1-комнатная квартира · 52 м² · 12/13 этаж,41 000 000〒,"Ауэзовский р-н, мкр Астана",1-комнатная квартира,52 м²,12,13,Нет,Да
3-комнатная квартира · 75 м² · 3/9 этаж,50 000 000〒,"Ауэзовский р-н, Рыскулбекова 35 — КазГаса",3-комнатная квартира,75 м²,3,9,Нет,Нет
2-комнатная квартира · 55 м² · 5/10 этаж,37 000 000〒,"Ауэзовский р-н, мкр Аксай-5, Момышулы 25 — Жубанова",2-комнатная квартира,55 м²,5,10,Нет,Да
2-комнатная квартира · 55.5 м² · 8/10 этаж,39 700 000〒,"Ауэзовский р-н, мкр Аксай-4, Мкр. Аксай-4 119а — Саин-Жұбанов",2-комнатная квартира,55.5 м²,8,10,Нет,Да
1-комнатная квартира · 52 м² · 1/6 этаж,37 000 000〒,"Ауэзовский р-н, мкр Таугуль-3 184/в1 — Жандосова",1-комнатная квартира,52 м²,1,6,Нет,Нет
1-комнатная квартира · 22 м² · 2/4 этаж,15 000 000〒,"Ауэзовский р-н, мкр Таугуль-1 — Токтабаева-Сулейменова",1-комнатная квартира,22 м²,2,4,Нет,Нет
2-комнатная квартира · 60.2 м² · 2/9 этаж,40 000 000〒,"Ауэзовский р-н, мкр Жетысу-4",2-комнатная квартира,60.2 м²,2,9,Нет,Нет
2-комнатная квартира · 43 м² · 3/4 этаж,30 000 000〒,"Ауэзовский р-н, мкр №8",2-комнатная квартира,43 м²,3,4,Нет,Нет
3-комнатная квартира · 110 м² · 6/16 этаж,90 000 000〒,"Ауэзовский р-н, мкр Сайран, Утеген батыра 11",3-комнатная квартира,110 м²,6,16,Нет,Да
2-комнатная квартира · 45 м² · 7/10 этаж,30 000 000〒,"Ауэзовский р-н, мкр Аксай-5, Момышулы 25 — Жубанова",2-комнатная квартира,45 м²,7,10,Нет,Да
